color_index	row	col	r	g	b	a	hex
0	0	0	0.921569	0.921569	0.921569	1.0	#EBEBEB
1	0	1	0.854902	0.854902	0.854902	1.0	#DADADA
2	0	2	0.713726	0.713726	0.713726	1.0	#B6B6B6
3	0	3	0.568627	0.568627	0.568627	1.0	#919191
4	0	4	0.427451	0.427451	0.427451	1.0	#6D6D6D
5	0	5	0.282353	0.282353	0.282353	1.0	#484848
6	0	6	0.141176	0.141176	0.141176	1.0	#242424
7	0	7	0.062745	0.062745	0.062745	1.0	#101010
8	1	0	0.905882	0.772549	0.772549	1.0	#E7C5C5
9	1	1	0.921569	0.666667	0.654902	1.0	#EBAAA7
10	1	2	0.921569	0.498039	0.498039	1.0	#EB7F7F
11	1	3	0.921569	0.247059	0.247059	1.0	#EB3F3F
12	1	4	0.854902	0.090196	0.090196	1.0	#DA1717
13	1	5	0.580392	0.149020	0.149020	1.0	#942626
14	1	6	0.309804	0.117647	0.117647	1.0	#4F1E1E
15	1	7	0.145098	0.062745	0.062745	1.0	#251010
16	2	0	0.905882	0.831373	0.772549	1.0	#E7D4C5
17	2	1	0.921569	0.784314	0.654902	1.0	#EBC8A7
18	2	2	0.921569	0.690196	0.498039	1.0	#EBB07F
19	2	3	0.905882	0.549020	0.247059	1.0	#E78C3F
20	2	4	0.854902	0.435294	0.090196	1.0	#DA6F17
21	2	5	0.580392	0.341176	0.149020	1.0	#945726
22	2	6	0.309804	0.203922	0.117647	1.0	#4F341E
23	2	7	0.145098	0.098039	0.062745	1.0	#251910
24	3	0	0.905882	0.898039	0.772549	1.0	#E7E5C5
25	3	1	0.921569	0.917647	0.654902	1.0	#EBEAA7
26	3	2	0.921569	0.901961	0.498039	1.0	#EBE67F
27	3	3	0.921569	0.886275	0.247059	1.0	#EBE23F
28	3	4	0.854902	0.815686	0.090196	1.0	#DAD017
29	3	5	0.580392	0.556863	0.149020	1.0	#948E26
30	3	6	0.309804	0.298039	0.117647	1.0	#4F4C1E
31	3	7	0.145098	0.137255	0.062745	1.0	#252310
32	4	0	0.827451	0.905882	0.772549	1.0	#D3E7C5
33	4	1	0.756863	0.921569	0.654902	1.0	#C1EBA7
34	4	2	0.670588	0.921569	0.498039	1.0	#ABEB7F
35	4	3	0.525490	0.921569	0.247059	1.0	#86EB3F
36	4	4	0.407843	0.854902	0.090196	1.0	#68DA17
37	4	5	0.329412	0.580392	0.149020	1.0	#549426
38	4	6	0.160784	0.309804	0.117647	1.0	#294F1E
39	4	7	0.101961	0.145098	0.062745	1.0	#1A2510
40	5	0	0.772549	0.905882	0.882353	1.0	#C5E7E1
41	5	1	0.654902	0.921569	0.882353	1.0	#A7EBE1
42	5	2	0.498039	0.921569	0.847059	1.0	#7FEBD8
43	5	3	0.247059	0.921569	0.800000	1.0	#3FEBCC
44	5	4	0.090196	0.854902	0.713726	1.0	#17DAB6
45	5	5	0.149020	0.580392	0.498039	1.0	#26947F
46	5	6	0.117647	0.309804	0.270588	1.0	#1E4F45
47	5	7	0.062745	0.145098	0.125490	1.0	#102520
48	6	0	0.772549	0.839216	0.905882	1.0	#C5D6E7
49	6	1	0.654902	0.858824	0.921569	1.0	#A7DBEB
50	6	2	0.498039	0.713726	0.921569	1.0	#7FB6EB
51	6	3	0.247059	0.592157	0.921569	1.0	#3F97EB
52	6	4	0.090196	0.486275	0.854902	1.0	#177CDA
53	6	5	0.149020	0.376471	0.580392	1.0	#266094
54	6	6	0.117647	0.219608	0.309804	1.0	#1E384F
55	6	7	0.062745	0.109804	0.145098	1.0	#101C25
56	7	0	0.815686	0.772549	0.905882	1.0	#D0C5E7
57	7	1	0.752941	0.654902	0.921569	1.0	#C0A7EB
58	7	2	0.635294	0.498039	0.921569	1.0	#A27FEB
59	7	3	0.466667	0.247059	0.921569	1.0	#773FEB
60	7	4	0.333333	0.090196	0.854902	1.0	#5517DA
61	7	5	0.282353	0.149020	0.580392	1.0	#482694
62	7	6	0.227451	0.133333	0.443137	1.0	#3A2271
63	7	7	0.176471	0.117647	0.309804	1.0	#2D1E4F
